stage,presentation,rank,layer,users,mean_target_rank90,p90_target_rank90,mean_target_rank95,retained_centered_energy,anchor_fit_relative_l2
u_gated_update,S5_transformed_update,0,4,512,1.00703125,1.0,1.021875,0.0,0.05375766191937146
u_gated_update,S5_transformed_update,0,5,512,1.019140625,1.0,1.091015625,0.0,0.04017555744849233
u_gated_update,S5_transformed_update,1,0,512,1.050390625,1.0,1.208203125,0.9687573477393017,0.006837766879971241
u_gated_update,S5_transformed_update,1,1,512,1.07265625,1.0,1.145703125,0.9727131378371269,0.004893934445749437
u_gated_update,S5_transformed_update,1,2,512,1.16015625,2.0,1.3171875,0.9468058059690521,0.0036575111936826945
u_gated_update,S5_transformed_update,1,3,512,1.173828125,2.0,1.319921875,0.942352808220312,0.0038892227195219675
u_gated_update,S5_transformed_update,1,4,512,1.003125,1.0,1.01171875,0.9921775632770732,0.0035170626500075743
u_gated_update,S5_transformed_update,1,5,512,1.02265625,1.0,1.091796875,0.9765515999868513,0.004544387778241799
u_gated_update,S5_transformed_update,2,0,512,1.050390625,1.0,1.208203125,0.9949341215658933,0.0030451250849182544
u_gated_update,S5_transformed_update,2,1,512,1.06953125,1.0,1.139453125,0.9986045603873208,0.0013425256047980838
u_gated_update,S5_transformed_update,2,2,512,1.145703125,2.0,1.29375,0.9968652197625488,0.0009738067935302297
u_gated_update,S5_transformed_update,2,3,512,1.155859375,2.0,1.284375,0.9959466640138999,0.0011076849093569763
u_gated_update,S5_transformed_update,2,4,512,1.00234375,1.0,1.009375,0.998903396492824,0.001347375352270319
u_gated_update,S5_transformed_update,2,5,512,1.01796875,1.0,1.073828125,0.9968324731336906,0.001889103435087236
u_gated_update,S5_transformed_update,4,0,512,1.050390625,1.0,1.208203125,0.9998605359811336,0.0009909104285895864
u_gated_update,S5_transformed_update,4,1,512,1.065625,1.0,1.134765625,0.9999568512663245,0.00031728492729428127
u_gated_update,S5_transformed_update,4,2,512,1.121484375,2.0,1.25390625,0.9999086410040036,0.00019968215936216893
u_gated_update,S5_transformed_update,4,3,512,1.134375,2.0,1.260546875,0.9998978913063183,0.00023074353410947878
u_gated_update,S5_transformed_update,4,4,512,1.001953125,1.0,1.008203125,0.9999635316198692,0.0003997867486390305
u_gated_update,S5_transformed_update,4,5,512,1.01640625,1.0,1.06640625,0.9999195826007053,0.0006834426700855545
u_gated_update,S5_transformed_update,8,0,512,1.050390625,1.0,1.208203125,0.9999931155936792,0.0009386550640016367
u_gated_update,S5_transformed_update,8,1,512,1.065625,1.0,1.134765625,0.9999981107423082,0.00021582361851244514
u_gated_update,S5_transformed_update,8,2,512,1.121484375,2.0,1.253515625,0.999997168360278,0.00012374966767509933
u_gated_update,S5_transformed_update,8,3,512,1.134375,2.0,1.26015625,0.9999966158997268,0.00014628678962083085
u_gated_update,S5_transformed_update,8,4,512,1.001953125,1.0,1.008203125,0.9999988223891705,0.00031811467111850786
u_gated_update,S5_transformed_update,8,5,512,1.01640625,1.0,1.06640625,0.9999971285462379,0.0005864020786987111
