stage,presentation,rank,edge,users,probability_recovery,logit_recovery,rank_correlation,storage_values
final_readout,S7_final_representation,0,v4_to_v5,32,0.901228703558445,0.901040093973279,0.9588984637521207,192
final_readout,S7_final_representation,1,v0_to_v1,32,0.976044150069356,0.9754068441689014,0.9982702545821667,768
final_readout,S7_final_representation,1,v1_to_v2,32,0.9919181670993567,0.9920053817331791,0.9990377575159073,768
final_readout,S7_final_representation,1,v2_to_v3,32,0.961846960708499,0.9618111588060856,0.9987857416272163,768
final_readout,S7_final_representation,1,v3_to_v4,32,0.9699648711830378,0.9694927018135786,0.9893924184143543,768
final_readout,S7_final_representation,1,v4_to_v5,32,0.9458658304065466,0.9457719586789608,0.9948107637465,768
final_readout,S7_final_representation,2,v0_to_v1,32,0.9842419158667326,0.9839158896356821,0.9992210417985916,1152
final_readout,S7_final_representation,2,v1_to_v2,32,0.9965046048164368,0.996547307819128,0.999553244560957,1152
final_readout,S7_final_representation,2,v2_to_v3,32,0.9932149108499289,0.9932498093694448,0.9994272366166115,1152
final_readout,S7_final_representation,2,v3_to_v4,32,0.9882902577519417,0.9881020616739988,0.9928175415843725,1152
final_readout,S7_final_representation,2,v4_to_v5,32,0.9892591424286366,0.9892868623137474,0.9985222704708576,1152
final_readout,S7_final_representation,4,v0_to_v1,32,0.9966780748218298,0.9966849181801081,0.9998854473233223,1920
final_readout,S7_final_representation,4,v1_to_v2,32,0.9990395344793797,0.9990601316094398,0.9999312683939934,1920
final_readout,S7_final_representation,4,v2_to_v3,32,0.9971579611301422,0.9971626307815313,0.9997823499143124,1920
final_readout,S7_final_representation,4,v3_to_v4,32,0.9979792591184378,0.9979402758181095,0.9993470497429371,1920
final_readout,S7_final_representation,4,v4_to_v5,32,0.9966144412755966,0.9966339208185673,0.9996792525053024,1920
final_readout,S7_final_representation,8,v0_to_v1,32,0.9975683819502592,0.9975604619830847,0.9999083578586578,3456
final_readout,S7_final_representation,8,v1_to_v2,32,0.9993075709789991,0.9993204642087221,0.9999541789293289,3456
final_readout,S7_final_representation,8,v2_to_v3,32,0.9976403750479221,0.9976530522108078,0.9998167157173157,3456
final_readout,S7_final_representation,8,v3_to_v4,32,0.9984762854874134,0.9984478745609522,0.9995074234902859,3456
final_readout,S7_final_representation,8,v4_to_v5,32,0.9970778841525316,0.9971046559512615,0.9997365288436413,3456
layer_hidden,S6_post_block_residual,0,v0_to_v1,32,0.6435706801712513,0.6439823638647795,0.9832523874938488,1152
layer_hidden,S6_post_block_residual,0,v1_to_v2,32,0.8555303364992142,0.858679385855794,0.9793690452352166,1152
layer_hidden,S6_post_block_residual,0,v2_to_v3,32,0.8706123642623425,0.8717862889170647,0.968417800962925,1152
layer_hidden,S6_post_block_residual,0,v3_to_v4,32,0.8923756591975689,0.8897043988108635,0.6379559186752886,1152
layer_hidden,S6_post_block_residual,0,v4_to_v5,32,0.8526442907750607,0.85304562933743,0.9430329045280814,1152
layer_hidden,S6_post_block_residual,1,v0_to_v1,32,0.9080222714692354,0.907129904255271,0.9943410977721214,4608
layer_hidden,S6_post_block_residual,1,v1_to_v2,32,0.9813446346670389,0.9815909918397665,0.998751375824213,4608
layer_hidden,S6_post_block_residual,1,v2_to_v3,32,0.975464915856719,0.9755251072347164,0.9983504414558411,4608
layer_hidden,S6_post_block_residual,1,v3_to_v4,32,0.9778535012155771,0.9774632193148136,0.9805718492716551,4608
layer_hidden,S6_post_block_residual,1,v4_to_v5,32,0.9491611365228891,0.9490124192088842,0.9944327380508184,4608
layer_hidden,S6_post_block_residual,2,v0_to_v1,32,0.9583032038062811,0.9580064043402672,0.9990377575159073,6912
layer_hidden,S6_post_block_residual,2,v1_to_v2,32,0.9914039205759764,0.9915065858513117,0.9991866759955883,6912
layer_hidden,S6_post_block_residual,2,v2_to_v3,32,0.9853115025907755,0.9853735771030188,0.9991293996572495,6912
layer_hidden,S6_post_block_residual,2,v3_to_v4,32,0.9843004327267408,0.9840672425925732,0.9922447800636292,6912
layer_hidden,S6_post_block_residual,2,v4_to_v5,32,0.9887914266437292,0.9887397587299347,0.9987170100212097,6912
layer_hidden,S6_post_block_residual,4,v0_to_v1,32,0.97215186804533,0.9720824267715216,0.999747984111309,11520
layer_hidden,S6_post_block_residual,4,v1_to_v2,32,0.9945459943264723,0.9946383498609066,0.9996677972376347,11520
layer_hidden,S6_post_block_residual,4,v2_to_v3,32,0.9960423521697521,0.9960624892264605,0.999851081520319,11520
layer_hidden,S6_post_block_residual,4,v3_to_v4,32,0.9940680209547281,0.9940372630953789,0.9994730576872826,11520
layer_hidden,S6_post_block_residual,4,v4_to_v5,32,0.9934079572558403,0.9934193212538958,0.9997365288436413,11520
layer_hidden,S6_post_block_residual,8,v0_to_v1,32,0.9720711596310139,0.9720071740448475,0.9997594393789768,20736
layer_hidden,S6_post_block_residual,8,v1_to_v2,32,0.9947889465838671,0.9948744438588619,0.9997136183083057,20736
layer_hidden,S6_post_block_residual,8,v2_to_v3,32,0.9961081948131323,0.996124180033803,0.9998854473233223,20736
layer_hidden,S6_post_block_residual,8,v3_to_v4,32,0.9942767471075058,0.9942327979952097,0.9995761550962925,20736
layer_hidden,S6_post_block_residual,8,v4_to_v5,32,0.9935568198561668,0.9935619570314884,0.9997938051819801,20736
u_gated_update,S5_transformed_update,0,v0_to_v1,32,0.643570888787508,0.6439810283482075,0.9832523874938488,1152
u_gated_update,S5_transformed_update,0,v1_to_v2,32,0.8555304147303104,0.8586794752627611,0.9793690452352166,1152
u_gated_update,S5_transformed_update,0,v2_to_v3,32,0.8706151079386473,0.8717873506247997,0.968417800962925,1152
u_gated_update,S5_transformed_update,0,v3_to_v4,32,0.8923775069415569,0.8897057045251131,0.6379444634076208,1152
u_gated_update,S5_transformed_update,0,v4_to_v5,32,0.8526443056762218,0.8530463296920061,0.9430329045280814,1152
u_gated_update,S5_transformed_update,1,v0_to_v1,32,0.9080226682126522,0.9071297198534012,0.9943410977721214,4608
u_gated_update,S5_transformed_update,1,v1_to_v2,32,0.9813451543450356,0.9815911445766687,0.998751375824213,4608
u_gated_update,S5_transformed_update,1,v2_to_v3,32,0.9754696898162365,0.9755269717425108,0.9983504414558411,4608
u_gated_update,S5_transformed_update,1,v3_to_v4,32,0.9778553992509842,0.9774639569222927,0.9805833045393229,4608
u_gated_update,S5_transformed_update,1,v4_to_v5,32,0.9491620119661093,0.9490127544850111,0.9944327380508184,4608
u_gated_update,S5_transformed_update,2,v0_to_v1,32,0.9583015572279692,0.9580050390213728,0.9990377575159073,6912
u_gated_update,S5_transformed_update,2,v1_to_v2,32,0.9914048165082932,0.9915069099515676,0.9991866759955883,6912
u_gated_update,S5_transformed_update,2,v2_to_v3,32,0.9853133540600538,0.9853754062205553,0.9991293996572495,6912
u_gated_update,S5_transformed_update,2,v3_to_v4,32,0.9843019209802151,0.9840683061629534,0.9922447800636292,6912
u_gated_update,S5_transformed_update,2,v4_to_v5,32,0.9887915104627609,0.9887396804988384,0.9987170100212097,6912
u_gated_update,S5_transformed_update,4,v0_to_v1,32,0.9721460901200771,0.972077377140522,0.999747984111309,11520
u_gated_update,S5_transformed_update,4,v1_to_v2,32,0.9945462811738253,0.9946384392678738,0.9996677972376347,11520
u_gated_update,S5_transformed_update,4,v2_to_v3,32,0.9960439894348383,0.9960612617433071,0.999851081520319,11520
u_gated_update,S5_transformed_update,4,v3_to_v4,32,0.9940672628581524,0.9940361399203539,0.9994730576872826,11520
u_gated_update,S5_transformed_update,4,v4_to_v5,32,0.993409825488925,0.9934202190488577,0.9997365288436413,11520
u_gated_update,S5_transformed_update,8,v0_to_v1,32,0.9720634836703539,0.9720021691173315,0.9997594393789768,20736
u_gated_update,S5_transformed_update,8,v1_to_v2,32,0.9947893023490906,0.9948745612055063,0.9997136183083057,20736
u_gated_update,S5_transformed_update,8,v2_to_v3,32,0.9961121119558811,0.9961242731660604,0.9998854473233223,20736
u_gated_update,S5_transformed_update,8,v3_to_v4,32,0.9942768700420856,0.994234137237072,0.9995761550962925,20736
u_gated_update,S5_transformed_update,8,v4_to_v5,32,0.9935560207813978,0.9935611952096224,0.9997938051819801,20736
