edge,family,budget,cost,configs,recovery_mean,recovery_min,recovery_max
v2_to_v3,token,p80,0.7998046875,1,0.9569969453446326,0.9569969453446326,0.9569969453446326
v2_to_v3,window,w128,0.125,3,0.1364417028277697,0.13180647689131475,0.14080332392141992
v2_to_v3,window,w256,0.25,3,0.2578207758802635,0.2385985366615131,0.2766125995008313
v2_to_v3,window,w512,0.5,1,0.5317980368907165,0.5317980368907165,0.5317980368907165
v2_to_v3,window,w768,0.75,1,0.7688690826883893,0.7688690826883893,0.7688690826883893
v3_to_v4,layer,k1,0.16666666666666666,6,0.16040515636030375,-0.01060827261149,0.9387772513600461
v3_to_v4,layer,k2,0.3333333333333333,3,0.3239620848430413,0.0013806310627515472,0.9380221619020244
v3_to_v4,layer,k3,0.5,3,0.34115092540459074,0.005481400167677397,0.9851268768056973
v3_to_v4,layer,k4,0.6666666666666666,2,0.51436914464928,0.0337185545599018,0.9950197347386582
v3_to_v4,token,p10,0.099609375,5,0.28796234040376023,0.1367990729290034,0.46686921485252775
v3_to_v4,token,p20,0.2001953125,4,0.5248661960252561,0.47223093333235455,0.6406678616808305
v3_to_v4,token,p40,0.400390625,2,0.7787971032721849,0.7447889707745516,0.8128052357698181
v3_to_v4,token,p80,0.7998046875,1,0.9724695087704966,0.9724695087704966,0.9724695087704966
v3_to_v4,window,w128,0.125,3,0.11788335370235566,0.11610905510160663,0.12018947643122446
v3_to_v4,window,w256,0.25,3,0.23761041459422275,0.2360343515978358,0.24022805583302043
v3_to_v4,window,w512,0.5,1,0.4871772030006728,0.4871772030006728,0.4871772030006728
v3_to_v4,window,w768,0.75,1,0.7431136271762029,0.7431136271762029,0.7431136271762029
v4_to_v5,layer,k1,0.16666666666666666,6,0.05632444798675468,-0.016960615425376746,0.2492325498042639
v4_to_v5,layer,k2,0.3333333333333333,3,0.07283766298786394,-0.028216242656890378,0.26103218098175673
v4_to_v5,layer,k3,0.5,3,0.2572309146841598,-0.03188389020074189,0.7966805087867911
