edge,config_id,family,budget,cost,users,candidates_per_user,mean_abs_probability_gap,reuse_mean_abs_probability_gap,probability_gap_recovery,mean_abs_logit_gap,mean_Bernoulli_JS,top1_agreement,top10_overlap,rank_correlation
v2_to_v3,layer_1,layer,k1,0.16666666666666666,3000,64,0.0022609563459895132,0.0055176022078184984,0.5902284614164981,0.020239933129710456,1.0418470646210309e-05,0.9313333333333333,0.9629666666666667,0.9914834401709401
v2_to_v3,layer_2,layer,k1,0.16666666666666666,3000,64,0.005381105951463502,0.0055176022078184984,0.02473832857352054,0.04498405555977176,5.199835400927636e-05,0.9046666666666666,0.947,0.9848291971916971
v2_to_v3,layer_3,layer,k1,0.16666666666666666,3000,64,0.004064165739250456,0.0055176022078184984,0.26341813233808486,0.03369859116741766,3.302759417368798e-05,0.9113333333333333,0.9484333333333334,0.9855062881562883
v2_to_v3,layer_4,layer,k1,0.16666666666666666,3000,64,0.0053471156543895525,0.0055176022078184984,0.030898667031009408,0.0449668838440751,5.116233686424033e-05,0.9023333333333333,0.9457000000000001,0.9838357295482295
v2_to_v3,layer_5,layer,k1,0.16666666666666666,3000,64,0.005500380760275493,0.0055176022078184984,0.0031211832412642027,0.04610112614588191,5.3942218612556185e-05,0.899,0.9442333333333333,0.9830707264957264
v2_to_v3,layer_6,layer,k1,0.16666666666666666,3000,64,0.005432714246498926,0.0055176022078184984,0.01538493681173414,0.04556353116811564,5.283160426647153e-05,0.8993333333333333,0.9447000000000001,0.9833027625152625
v2_to_v3,layer_1_2,layer,k2,0.3333333333333333,3000,64,0.0021529125794272084,0.0055176022078184984,0.6098101134626,0.019274556685859957,9.474324958573907e-06,0.9383333333333334,0.9671666666666666,0.9929079212454213
v2_to_v3,layer_3_4,layer,k2,0.3333333333333333,3000,64,0.003939324307903334,0.0055176022078184984,0.28604416202362837,0.032818152449714644,3.1510945253434657e-05,0.9083333333333333,0.9472000000000002,0.9851071428571428
v2_to_v3,layer_5_6,layer,k2,0.3333333333333333,3000,64,0.0054156802934285046,0.0055176022078184984,0.01847213890221544,0.045417305949454506,5.25760239731368e-05,0.8996666666666666,0.9447000000000001,0.9833555708180708
v2_to_v3,layer_1_2_3,layer,k3,0.5,3000,64,0.00042542631040165177,0.0055176022078184984,0.922896523819927,0.004089279510080815,3.5525605368830654e-07,0.9923333333333333,0.9931000000000001,0.9994897435897436
v2_to_v3,layer_3_4_5,layer,k3,0.5,3000,64,0.0039282296973777745,0.0055176022078184984,0.28805492867691096,0.03273211026688417,3.139551156949009e-05,0.9086666666666666,0.9471,0.9851190934065935
v2_to_v3,layer_4_5_6,layer,k3,0.5,3000,64,0.005246781458804326,0.0055176022078184984,0.0490830507190998,0.04414288056703905,4.964439893539979e-05,0.905,0.9463333333333334,0.9841328754578753
v2_to_v3,layer_1_2_3_4,layer,k4,0.6666666666666666,3000,64,0.00013424034089849462,0.0055176022078184984,0.975670529363593,0.0012141979013880093,3.118032757401087e-08,0.997,0.9983333333333333,0.9999355311355311
v2_to_v3,layer_3_4_5_6,layer,k4,0.6666666666666666,3000,64,0.0038679700837797454,0.0055176022078184984,0.29897626938404653,0.03227298288357754,3.0716817424192105e-05,0.9073333333333333,0.9472000000000002,0.9851306318681318
v2_to_v3,window_128_896_1024,window,w128,0.125,3000,64,0.004740705476881489,0.0055176022078184984,0.14080332392141992,0.03995589123883595,4.047051495606175e-05,0.912,0.9510333333333333,0.9867138278388279
v2_to_v3,window_128_768_896,window,w128,0.125,3000,64,0.004763261524372751,0.0055176022078184984,0.1367153076705745,0.040118067826144396,4.0431752009233774e-05,0.9123333333333333,0.9506333333333333,0.9866785103785105
v2_to_v3,window_128_640_768,window,w128,0.125,3000,64,0.004790346499918202,0.0055176022078184984,0.13180647689131475,0.04031821015042563,4.128735508363551e-05,0.9143333333333333,0.9508333333333333,0.9867299755799755
v2_to_v3,window_256_768_1024,window,w256,0.25,3000,64,0.003991363918102298,0.0055176022078184984,0.2766125995008313,0.033840797745001816,2.8921557008499772e-05,0.9243333333333333,0.9576,0.9899594932844933
v2_to_v3,window_256_512_768,window,w256,0.25,3000,64,0.004092674863545267,0.0055176022078184984,0.2582511914784461,0.03457482233115782,3.0453625319133986e-05,0.92,0.9571666666666667,0.9898936507936508
v2_to_v3,window_256_256_512,window,w256,0.25,3000,64,0.004201110395152671,0.0055176022078184984,0.2385985366615131,0.035341013415095705,3.274929187045897e-05,0.9253333333333333,0.9566666666666667,0.9893774420024419
v2_to_v3,window_512_512_1024,window,w512,0.5,3000,64,0.0025833521853567383,0.0055176022078184984,0.5317980368907165,0.02220316420868039,1.2659794988339912e-05,0.948,0.9704333333333334,0.9949773962148962
v2_to_v3,window_768_256_1024,window,w768,0.75,3000,64,0.0012752884596536585,0.0055176022078184984,0.7688690826883893,0.011161067942778269,3.4536000949416008e-06,0.97,0.9841000000000001,0.9981555860805861
