run,target,users,mean_user_probability_recovery,median_user_probability_recovery,fraction_users_harmed,mean_reuse_probability_gap,mean_method_probability_gap
v5_runtime_quality512_01,1,512,0.29379138501826674,0.8104685246944427,0.12109375,0.008972102177722215,0.0019442980465100388
v5_runtime_quality512_01,2,512,0.136863965773955,0.6390348374843597,0.197265625,0.0048336370236938325,0.0018600666480778694
v5_runtime_quality512_01,3,512,-0.00017701357137411833,0.6137161552906036,0.2421875,0.00554752159223421,0.002233063874882597
v5_runtime_quality512_01,4,512,0.653852688963525,0.8686057031154633,0.078125,0.021532517657760715,0.004072672007168828
v5_runtime_quality512_01,5,512,-0.44764893781393766,0.5383952558040619,0.25,0.004621846612280886,0.0022217377954802456
v5_temporal512_01,1,512,0.29379149503074586,0.8104689717292786,0.12109375,0.008972102177722215,0.001944298021044186
v5_temporal512_01,2,512,0.13686383643653244,0.6390335857868195,0.197265625,0.0048336370236938325,0.0018600667044665416
v5_temporal512_01,3,512,-0.00017720100004226663,0.613716185092926,0.2421875,0.00554752159223421,0.0022330639840219637
v5_temporal512_01,4,512,0.6538528113160282,0.8686057031154633,0.078125,0.021532517657760715,0.004072671992616909
v5_temporal512_01,5,512,-0.44764843641314656,0.5383952558040619,0.25,0.004621846612280886,0.0022217375117179004
v5_temporal_canary_01,1,4,-11.844990953803062,-1.8710660934448242,0.75,0.00418937997892495,0.0134577129501849
v5_temporal_canary_01,2,4,0.4131704717874527,0.5663744509220123,0.25,0.005902391392737575,0.0037854509428143
v5_temporal_scalar_canary_01,1,4,-11.844990953803062,-1.8710660934448242,0.75,0.00418937997892495,0.0134577129501849
v5_temporal_scalar_canary_01,2,4,0.4131704717874527,0.5663744509220123,0.25,0.005902391392737575,0.0037854509428143
v6_clearance_canary_01,1,4,0.512921467423439,0.753290593624115,0.25,0.00418937997892495,0.0010408775415271252
v6_clearance_canary_01,2,4,0.7172486037015915,0.7204117476940155,0.0,0.005902391392737575,0.0013065619859844002
v6_clearance_canary_01,3,4,-0.18171092867851252,-0.05579972267150879,0.5,0.00360543397255235,0.002736314432695475
v6_clearance_canary_01,4,4,-3.008333146572113,0.7419163286685944,0.25,0.014155847486108474,0.004982294747605875
v6_clearance_canary_01,5,4,0.6064247190952301,0.6308897137641907,0.0,0.0044565133284777,0.0015054407995193498
v6_clearance_quality512_01,1,512,0.1986413064878434,0.7741789519786835,0.125,0.008972102177722215,0.0023016744798951064
v6_clearance_quality512_01,2,512,-0.1381146633066237,0.48369088768959045,0.265625,0.0048336370236938325,0.0025033342735695887
v6_clearance_quality512_01,3,512,-0.16692325577605516,0.5011008977890015,0.296875,0.00554752159223421,0.0027322618625475526
v6_clearance_quality512_01,4,512,0.4640875431941822,0.8096492290496826,0.11328125,0.021532517657760715,0.005160476392120422
v6_clearance_quality512_01,5,512,-0.7506936127319932,0.4047839641571045,0.33203125,0.004621846612280886,0.002917167339546673
v6_refit64_01,1,128,0.40425716573372483,0.7539011240005493,0.1640625,0.00832393586460962,0.0024989783487398636
v6_refit64_01,2,128,0.08111980510875583,0.5651061534881592,0.2734375,0.004912187265290361,0.002675894604180897
v6_refit64_01,3,128,-0.10249296436086298,0.5533376336097717,0.265625,0.006175870039442037,0.0029208168925833416
