edge,stage,presentation,layer,users,candidate_mean_energy_fraction,candidate_centered_energy_fraction
v1_to_v2,layer_hidden,S6_post_block_residual,2,32,0.9972773548215628,0.0027226378920204297
v1_to_v2,layer_hidden,S6_post_block_residual,3,32,0.9969237893819809,0.003076201247949939
v1_to_v2,layer_hidden,S6_post_block_residual,4,32,0.9944274183362722,0.005572604757617228
v1_to_v2,layer_hidden,S6_post_block_residual,5,32,0.9961976818740368,0.0038023276911189896
v2_to_v3,layer_hidden,S6_post_block_residual,0,32,0.9905314240604639,0.00946859512168885
v2_to_v3,layer_hidden,S6_post_block_residual,1,32,0.998405871912837,0.001594125749761588
v2_to_v3,layer_hidden,S6_post_block_residual,2,32,0.9996632430702448,0.00033675988902359677
v2_to_v3,layer_hidden,S6_post_block_residual,3,32,0.9995220340788364,0.00047795861655686167
v2_to_v3,layer_hidden,S6_post_block_residual,4,32,0.9957113731652498,0.004288629064831184
v2_to_v3,layer_hidden,S6_post_block_residual,5,32,0.9994614534080029,0.0005385534477682086
v3_to_v4,layer_hidden,S6_post_block_residual,0,32,0.9974257778376341,0.002574231232301827
v3_to_v4,layer_hidden,S6_post_block_residual,1,32,0.997095350176096,0.0029046541885691113
v3_to_v4,layer_hidden,S6_post_block_residual,2,32,0.9991091936826706,0.0008907878032005101
v3_to_v4,layer_hidden,S6_post_block_residual,3,32,0.9989146590232849,0.0010853479734578286
v3_to_v4,layer_hidden,S6_post_block_residual,4,32,0.998270882293582,0.001729109527559558
v3_to_v4,layer_hidden,S6_post_block_residual,5,32,0.9971271511167288,0.002872850995800036
v4_to_v5,layer_hidden,S6_post_block_residual,0,32,0.9952650088816881,0.004735003701171081
v4_to_v5,layer_hidden,S6_post_block_residual,1,32,0.9967884216457605,0.0032115879039338324
v4_to_v5,layer_hidden,S6_post_block_residual,2,32,0.9988193605095148,0.0011806625789176906
v4_to_v5,layer_hidden,S6_post_block_residual,3,32,0.9986777901649475,0.0013222225052231806
v4_to_v5,layer_hidden,S6_post_block_residual,4,32,0.9961406774818897,0.003859326032397803
v4_to_v5,layer_hidden,S6_post_block_residual,5,32,0.9975296054035425,0.0024704027564439457
v0_to_v1,u_gated_update,S5_transformed_update,0,32,0.9978697001934052,0.002130290446075378
v0_to_v1,u_gated_update,S5_transformed_update,1,32,0.996499689295888,0.0035003297080038465
v0_to_v1,u_gated_update,S5_transformed_update,2,32,0.9980198126286268,0.001980185608317697
v0_to_v1,u_gated_update,S5_transformed_update,3,32,0.9981121774762869,0.0018878155271977448
v0_to_v1,u_gated_update,S5_transformed_update,4,32,0.9977548848837614,0.0022451158374678926
v0_to_v1,u_gated_update,S5_transformed_update,5,32,0.9971415437757969,0.0028584672518263687
v1_to_v2,u_gated_update,S5_transformed_update,0,32,0.9962038546800613,0.0037961450580041856
v1_to_v2,u_gated_update,S5_transformed_update,1,32,0.9896051865071058,0.01039481676161813
v1_to_v2,u_gated_update,S5_transformed_update,2,32,0.9972773492336273,0.0027226396234709682
v1_to_v2,u_gated_update,S5_transformed_update,3,32,0.9969238042831421,0.0030761924379021366
